iter	Passed	Remaining
466	1409	401
467	1412	398
468	1415	395
469	1417	392
470	1420	389
471	1423	385
472	1426	382
473	1428	379
474	1430	376
475	1433	373
476	1436	370
477	1438	367
478	1441	364
479	1443	360
480	1446	357
481	1448	354
482	1451	351
483	1453	348
484	1456	345
485	1459	342
486	1461	339
487	1464	336
488	1467	333
489	1469	329
490	1472	326
491	1474	323
492	1477	320
493	1479	317
494	1482	314
495	1484	311
496	1487	308
497	1489	305
498	1492	302
499	1495	299
500	1498	296
501	1500	293
502	1503	289
503	1506	286
504	1509	283
505	1511	280
506	1514	277
507	1517	274
508	1520	271
509	1523	268
510	1526	265
511	1528	262
512	1531	259
513	1534	256
514	1536	253
515	1539	250
516	1541	247
517	1544	244
518	1546	241
519	1549	238
520	1552	235
521	1554	232
522	1557	229
523	1559	226
524	1562	223
525	1566	220
526	1569	217
527	1572	214
528	1574	211
529	1577	208
530	1580	205
531	1583	202
532	1586	199
533	1588	196
534	1591	193
535	1594	190
536	1596	187
537	1599	184
538	1602	181
539	1604	178
540	1607	175
541	1610	172
542	1613	169
543	1615	166
544	1618	163
545	1620	160
546	1624	157
547	1626	154
548	1629	151
549	1632	148
550	1635	145
551	1638	142
552	1641	139
553	1644	136
554	1647	133
555	1649	130
556	1652	127
557	1654	124
558	1657	121
559	1660	118
560	1662	115
561	1665	112
562	1668	109
563	1671	106
564	1673	103
565	1676	100
566	1679	97
567	1681	94
568	1684	91
569	1687	88
570	1689	85
571	1692	82
572	1695	79
573	1698	76
574	1700	73
575	1703	70
576	1706	68
577	1709	65
578	1712	62
579	1714	59
580	1717	56
581	1720	53
582	1723	50
583	1725	47
584	1728	44
585	1732	41
586	1735	38
587	1738	35
588	1740	32
589	1744	29
590	1746	26
591	1749	23
592	1752	20
593	1756	17
594	1758	14
595	1761	11
596	1764	8
597	1766	5
598	1769	2
599	1772	0
