iter	RMSE
579	118880.4039
580	118845.5823
581	118810.7729
582	118776.2852
583	118644.9343
584	118610.5326
585	118439.4869
586	118270.7069
587	118236.2278
588	118202.1816
589	118078.7545
590	118044.9454
591	118011.225
592	117977.5011
593	117753.6056
594	117720.0393
595	117522.1307
596	117488.7231
597	117455.5094
598	117346.3658
599	117313.3108
600	117280.2049
601	117247.3436
602	117214.5852
603	117108.4206
604	117075.7822
605	117043.3258
606	117010.9454
607	116864.4932
608	116832.1122
609	116714.3386
610	116682.0678
611	116488.7448
612	116456.4299
613	116319.8205
614	116197.0235
615	116164.8591
616	116020.7397
617	115988.7359
618	115956.8858
619	115845.87
620	115814.1034
621	115782.439
622	115750.8756
623	115719.4532
624	115688.239
625	115529.2291
626	115417.6492
627	115386.3166
628	115287.8161
629	115175.8356
630	115144.6506
631	115048.1985
632	114943.7245
633	114912.5852
634	114881.6064
635	114850.7552
636	114738.7411
637	114708.0438
638	114677.463
639	114646.9457
640	114539.2914
641	114394.1672
642	114363.7113
643	114333.2678
644	114302.9917
645	114272.909
646	114176.2273
647	114061.4716
648	113970.3144
649	113940.2552
650	113910.2535
651	113880.416
652	113789.289
653	113759.5024
654	113729.8265
655	113700.2026
656	113553.9309
657	113524.3531
658	113494.9098
659	113465.5675
660	113436.3353
661	113253.801
662	113224.4657
663	113195.2761
664	113166.2881
665	112993.1317
666	112863.415
667	112745.921
668	112635.233
669	112523.439
670	112494.3673
671	112396.5774
672	112275.6626
673	112133.9397
674	112105.0144
675	112007.2729
676	111978.5177
677	111949.9204
678	111921.3872
679	111892.9823
680	111864.7026
681	111776.8035
682	111639.0483
683	111610.758
684	111473.0951
685	111378.4358
686	111350.2048
687	111253.1716
688	111147.3776
689	111119.2972
690	111091.3043
691	111063.5122
692	111035.7701
693	110950.6814
694	110923.0174
695	110895.409
696	110868.045
697	110840.7696
698	110813.464
699	110786.2993
700	110649.9543
701	110538.1139
702	110459.9272
703	110341.2813
704	110314.0818
705	110287.046
706	110260.1078
707	110233.2442
708	110041.6771
709	110014.8843
710	109909.1801
711	109882.4106
712	109781.3182
713	109754.7761
714	109650.8487
715	109624.2837
716	109597.9544
717	109571.6578
718	109475.8167
719	109449.5559
720	109358.3751
721	109278.9094
722	109252.8125
723	109226.8527
724	109200.9128
725	109175.0256
726	109059.2178
727	108921.4607
728	108830.8621
729	108804.9585
730	108779.0454
731	108753.3296
732	108623.7009
733	108598.0843
734	108572.4858
735	108546.8622
736	108521.4509
737	108425.7716
738	108400.5196
739	108375.3192
740	108297.762
741	108272.5515
742	108247.5478
743	108146.8505
744	107987.898
745	107909.0633
746	107883.9225
747	107857.594
748	107751.4609
749	107726.6318
750	107645.9523
751	107531.9149
752	107443.8801
753	107276.1387
754	107251.3808
755	107226.6569
756	107131.7879
757	107107.2453
758	107082.8438
759	107058.5436
760	106985.3472
761	106880.3467
762	106766.3489
763	106658.1578
764	106558.5722
765	106534.1853
766	106436.3962
767	106412.1975
768	106275.3004
769	106251.1171
770	106176.2544
771	106152.2073
772	106127.2367
773	106103.3324
774	106079.538
775	105999.2103
776	105975.4707
777	105867.7779
778	105844.0585
779	105731.5096
780	105707.8121
781	105684.2196
782	105659.777
783	105558.6607
784	105535.038
785	105459.869
786	105380.7947
787	105357.3415
788	105333.9994
789	105252.6774
790	105229.3077
791	105130.1176
792	105106.8829
793	105083.6725
794	105060.5207
795	104975.8137
796	104952.7266
797	104929.7105
798	104805.0178
799	104781.9616
800	104759.0241
801	104736.1793
802	104658.4831
803	104631.6686
804	104608.9254
805	104586.2005
806	104563.5441
807	104540.9547
808	104518.4296
809	104495.9502
810	104473.5454
811	104396.4398
812	104374.1096
813	104351.8112
814	104329.4943
815	104237.1525
816	104176.4268
817	104154.1401
818	104078.1583
819	104055.89
820	103948.8696
821	103924.6444
822	103902.4402
823	103800.1863
824	103778.0211
825	103755.9063
826	103733.8399
827	103711.4366
828	103689.5275
829	103667.6805
830	103645.8898
831	103624.0761
832	103602.3639
833	103539.0377
834	103517.3596
835	103495.6892
836	103474.1439
837	103452.6501
838	103362.457
839	103340.5951
840	103319.1388
841	103215.0236
842	103193.5541
843	103063.2157
844	103041.7876
845	103020.4201
846	102896.2809
847	102874.9029
848	102853.6117
849	102832.4282
850	102811.2641
851	102790.2148
852	102717.2123
853	102696.2249
854	102675.2775
855	102559.9175
856	102538.9888
857	102518.1106
858	102434.7415
859	102355.201
860	102334.2586
861	102267.1853
862	102246.3161
863	102158.9801
864	102138.1548
865	102117.4013
866	102040.8062
867	102020.0565
868	101955.3287
869	101934.4349
870	101913.7818
871	101893.218
872	101872.5569
873	101852.0345
874	101831.5416
875	101811.0328
876	101790.6435
877	101724.2795
878	101703.8758
879	101609.7358
880	101479.1862
881	101458.7058
882	101356.9478
883	101336.5971
884	101316.3217
885	101296.092
886	101275.9298
887	101255.6251
888	101235.5564
889	101215.5089
890	101195.4782
891	101124.2265
892	101030.1074
893	101010.1383
894	100990.26
895	100970.4044
896	100950.5993
897	100930.8244
898	100829.9855
899	100810.2108
900	100790.4676
901	100770.764
902	100710.6503
903	100691.0064
904	100670.1657
905	100650.6137
906	100631.0722
907	100611.5467
908	100592.0702
909	100501.2328
910	100481.7653
911	100386.7064
912	100367.2072
913	100347.7901
914	100251.7112
915	100232.4532
916	100213.1127
917	100143.8815
918	100124.5882
919	100105.3438
920	100023.0922
921	100003.8791
922	99984.72909
923	99965.62505
924	99946.54939
925	99871.72019
926	99852.64565
927	99833.66178
928	99773.62279
929	99754.66538
930	99724.75167
931	99705.81818
932	99686.85759
933	99623.50412
934	99565.78667
935	99546.89213
936	99496.41707
937	99477.48468
938	99458.68263
939	99393.65504
940	99290.88962
941	99272.05565
942	99207.58685
943	99123.4522
944	99104.63252
945	99085.89538
946	99067.21322
947	99021.77757
948	99003.12849
949	98984.48771
950	98965.88594
951	98947.25985
952	98928.75067
953	98844.45437
954	98825.91639
955	98732.67181
956	98661.49098
957	98643.0018
958	98624.5965
959	98606.22263
960	98587.86095
961	98562.68398
962	98544.42042
963	98526.18823
964	98507.98119
965	98489.80025
966	98471.63295
967	98369.5082
968	98299.55077
969	98281.31696
970	98263.45135
971	98209.05933
972	98135.60624
973	98067.13879
974	98048.94069
975	98030.85437
976	98012.86824
977	97994.94162
978	97964.81575
979	97946.92194
980	97893.47791
981	97875.56621
982	97829.59393
983	97811.71985
984	97793.88219
985	97715.37288
986	97697.54198
987	97619.68978
988	97601.88621
989	97584.14748
990	97486.05295
991	97468.10284
992	97450.37797
993	97388.32861
994	97370.67698
995	97280.92539
996	97263.283
997	97245.65289
998	97228.36967
999	97210.85069
